periode,food_n_beverages,clothing_footwear,house_water_electricity,furnishing,health,transport,finansial_services,sport,education_services,food_restaurants,other
January,108.87,105.49,102.87,105.97,107.99,102.7,100.11,103.95,107.74,107.96,112.34
February,108.95,105.55,102.91,106.35,108.2,103.01,100.08,104.01,107.74,108.26,112.18
March,109.39,105.57,102.95,106.46,108.29,102.75,100.05,104.06,107.75,108.44,111.74
April,109.61,105.77,103.02,106.74,108.49,102.75,100.05,104.27,107.76,108.67,112.06
May,110.03,106.32,103.05,107.03,108.57,103.48,100.06,104.4,107.77,109.15,112.72
June,109.25,106.19,103.12,107.21,108.6,103.12,100.05,104.64,107.8,109.41,113.12
July,109.41,106.27,103.17,107.33,108.86,103.11,100.08,104.69,107.99,109.47,113.04
August,109.06,106.2,103.22,107.62,109.21,103.06,100.07,104.62,109.29,109.58,113.21
September,108.55,106.49,103.3,107.84,109.34,103.13,100.06,104.74,109.4,109.85,113.26
October,108.66,106.65,103.38,107.98,109.41,103.47,100.1,104.78,109.42,109.98,113.28
November,109.57,106.75,103.52,108.36,109.42,104,100.1,104.97,109.42,110.22,113.7
December,111.33,106.98,103.62,108.62,109.6,104.64,100,105.07,109.42,110.48,113.98
