periode,food_n_beverages,clothing_footwear,house_water_electricity,furnishing,health,transport,finansial_services,sport,education_services,food_restaurants,other
January,112.63,107.44,104.15,109.48,109.86,104.66,99.87,105.5,109.51,110.88,114.69
February,111.68,107.54,104.41,109.97,110.22,104.73,99.83,105.86,109.59,111.47,115.38
March,113.32,107.72,104.84,110.52,110.53,105.17,99.83,106.04,109.6,111.83,116.69
April,115.31,107.71,105.13,111.25,110.87,107.72,99.83,106.25,109.6,112.44,117.56
May,116.21,107.49,105.23,111.73,111.08,108.42,99.86,106.57,109.61,113.05,117.94
June,118.27,107.66,105.33,112.32,111.27,108.74,99.82,106.7,109.62,113.42,118.13
July,119.64,107.91,105.82,112.6,111.36,109.97,99.81,107.05,109.99,113.8,118.45
August,117.49,107.93,106.43,112.88,111.48,109.88,99.78,107.27,112.02,114.18,118.79
September,117.14,108.15,106.6,113.27,112.12,119.64,99.75,107.6,112.25,114.83,119.12
October,116,108.25,106.79,113.47,112.36,120.06,99.68,107.77,112.42,115.17,119.41
November,116,108.38,106.87,113.73,112.59,120.07,99.7,108.01,112.44,115.28,119.93
December,117.82,108.48,107.54,113.9,112.75,120.61,99.64,108.26,112.45,115.44,120.72
